name,geog,lung_cancer_rate_per100k
"Scotland County, North Carolina",37165,78.1
"Weakley County, Tennessee",47183,78
"Rockingham County, North Carolina",37157,78
"Williamson County, Illinois",17199,78
"Greene County, New York",36039,78
"Weston County, Wyoming",56045,78
"Allen County, Kentucky",21003,78
"Rensselaer County, New York",36083,78
"Salem County, New Jersey",34033,77.9
"Lewis County, Tennessee",47101,77.9
"Franklin County, New York",36033,77.9
"Pottawatomie County, Oklahoma",40125,77.9
"Tipton County, Tennessee",47167,77.8
"Hancock County, Kentucky",21091,77.8
"Aransas County, Texas",48007,77.8
"Audrain County, Missouri",29007,77.8
"Callaway County, Missouri",29027,77.8
"Jones County, Iowa",19105,77.8
"Buchanan County, Missouri",29021,77.7
"Stone County, Mississippi",28131,77.7
"Davidson County, North Carolina",37057,77.7
"Lafayette County, Florida",12067,77.7
"Wayne County, Tennessee",47181,77.7
"Greene County, Tennessee",47059,77.7
"Appanoose County, Iowa",19007,77.6
"Giles County, Tennessee",47055,77.6
"Jefferson County, Ohio",39081,77.6
"Calloway County, Kentucky",21035,77.5
"Freestone County, Texas",48161,77.5
"Kent County, Rhode Island",44003,77.5
"Upson County, Georgia",13293,77.5
"Greene County, Pennsylvania",42059,77.4
"Marshall County, Mississippi",28093,77.4
"Smith County, Mississippi",28129,77.4
"Shelby County, Illinois",17173,77.4
"Bledsoe County, Tennessee",47007,77.3
"Brooke County, West Virginia",54009,77.3
"Elmore County, Idaho",16039,77.3
"Camden County, Georgia",13039,77.3
"Schuyler County, New York",36097,77.2
"Ashtabula County, Ohio",39007,77.1
"San Jacinto County, Texas",48407,77.1
"Fulton County, Arkansas",05049,77.1
"Terrebonne Parish, Louisiana",22109,77.1
"De Witt County, Illinois",17039,77
"Putnam County, West Virginia",54079,77
"Maury County, Tennessee",47119,77
"Muskingum County, Ohio",39119,77
"Humphreys County, Mississippi",28053,77
"Wirt County, West Virginia",54105,76.9
"Cecil County, Maryland",24015,76.9
"Fulton County, Illinois",17057,76.9
"Schuylkill County, Pennsylvania",42107,76.9
"Mayes County, Oklahoma",40097,76.8
"Cherokee County, Oklahoma",40021,76.8
"Marion County, Georgia",13197,76.8
"Monroe County, Mississippi",28095,76.8
"Shannon County, Missouri",29203,76.8
"Craighead County, Arkansas",05031,76.7
"Dade County, Georgia",13083,76.7
"West Carroll Parish, Louisiana",22123,76.7
"Lenoir County, North Carolina",37107,76.7
"Wicomico County, Maryland",24045,76.7
"Bedford County, Tennessee",47003,76.7
"Leake County, Mississippi",28079,76.7
"Independence County, Arkansas",05063,76.7
"Carteret County, North Carolina",37031,76.6
"Baltimore City, Maryland",24510,76.6
"Sangamon County, Illinois",17167,76.6
"Stanly County, North Carolina",37167,76.6
"Kankakee County, Illinois",17091,76.5
"Knox County, Illinois",17095,76.5
"Webster County, West Virginia",54101,76.5
"Craven County, North Carolina",37049,76.4
"Simpson County, Mississippi",28127,76.4
"Washington County, Ohio",39167,76.4
"Craig County, Oklahoma",40035,76.4
"Montmorency County, Michigan",26119,76.4
"Oxford County, Maine",23017,76.3
"Ware County, Georgia",13299,76.3
"Ballard County, Kentucky",21007,76.3
"Tyrrell County, North Carolina",37177,76.2
"Clinton County, Missouri",29049,76.2
"Jasper County, Georgia",13159,76.2
"Marion County, West Virginia",54049,76.2
"Randolph County, Illinois",17157,76.2
"Robeson County, North Carolina",37155,76.2
"Cass County, Texas",48067,76.2
"Gibson County, Tennessee",47053,76.1
"Bryan County, Georgia",13029,76
"Leflore County, Mississippi",28083,76
"Clarke County, Mississippi",28023,76
"Henderson County, Illinois",17071,76
"Franklin Parish, Louisiana",22041,76
"Sampson County, North Carolina",37163,76
"Jones County, North Carolina",37103,76
"Union County, South Carolina",45087,75.9
"Effingham County, Georgia",13103,75.9
"Crawford County, Arkansas",05033,75.9
"Seminole County, Georgia",13253,75.9
"Dade County, Missouri",29057,75.9
"McCracken County, Kentucky",21145,75.9
"Liberty County, Texas",48291,75.8
"Pike County, Arkansas",05109,75.7
"Pearl River County, Mississippi",28109,75.7
"Hardeman County, Tennessee",47069,75.7
"Tazewell County, Illinois",17179,75.7
"Blount County, Tennessee",47009,75.7
"Colquitt County, Georgia",13071,75.7
"Lee County, South Carolina",45061,75.7
"Chemung County, New York",36015,75.7
"Livingston County, Illinois",17105,75.6
"Baker County, Georgia",13007,75.6
"Madison County, North Carolina",37115,75.6
"Alcorn County, Mississippi",28003,75.6
"Harnett County, North Carolina",37085,75.5
"Adams County, Wisconsin",55001,75.5
"Aroostook County, Maine",23003,75.4
"Bradford County, Florida",12007,75.4
"Kalkaska County, Michigan",26079,75.4
"Escambia County, Florida",12033,75.3
"Washington Parish, Louisiana",22117,75.3
"Iroquois County, Illinois",17075,75.3
"Covington County, Alabama",01039,75.3
"Shelby County, Missouri",29205,75.2
"Langlade County, Wisconsin",55067,75.2
"Wheeler County, Texas",48483,75.1
"Sevier County, Tennessee",47155,75.1
"Johnson County, Tennessee",47091,75.1
"Richland County, Illinois",17159,75.1
"Morehouse Parish, Louisiana",22067,75.1
"Carroll County, Georgia",13045,75.1
"Van Buren County, Arkansas",05141,75.1
"Greenbrier County, West Virginia",54025,75.1
"Haywood County, Tennessee",47075,75.1
"West Baton Rouge Parish, Louisiana",22121,75
"Washington County, New York",36115,75
"Oglala Lakota/Shannon County, South Dakota",46102,75
"Strafford County, New Hampshire",33017,74.9
"Jessamine County, Kentucky",21113,74.9
"Van Buren County, Iowa",19177,74.9
"Jackson Parish, Louisiana",22049,74.8
"Escambia County, Alabama",01053,74.8
"Spencer County, Kentucky",21215,74.7
"Hot Spring County, Arkansas",05059,74.7
"Coles County, Illinois",17029,74.7
"Rowan County, North Carolina",37159,74.6
"Tallahatchie County, Mississippi",28135,74.6
"Geneva County, Alabama",01061,74.6
"Raleigh County, West Virginia",54081,74.6
"Washington County, Kentucky",21229,74.6
"Benton County, Iowa",19011,74.5
"Ritchie County, West Virginia",54085,74.5
"Lumpkin County, Georgia",13187,74.5
"Calhoun County, Alabama",01015,74.5
"Bates County, Missouri",29013,74.5
"Turner County, Georgia",13287,74.4
"Johnston County, Oklahoma",40069,74.4
"Okeechobee County, Florida",12093,74.4
"DeKalb County, Missouri",29063,74.4
"Stokes County, North Carolina",37169,74.3
"Camp County, Texas",48063,74.3
"Sullivan County, Tennessee",47163,74.3
"Hoke County, North Carolina",37093,74.2
"Ida County, Iowa",19093,74.2
"Licking County, Ohio",39089,74.2
"Acadia Parish, Louisiana",22001,74.2
"Page County, Iowa",19145,74.1
"Pope County, Arkansas",05115,74.1
"Nassau County, Florida",12089,74.1
"Franklin County, Texas",48159,74.1
"Stone County, Arkansas",05137,74
"Nevada County, Arkansas",05099,74
"Codington County, South Dakota",46029,74
"Fannin County, Texas",48147,73.9
"Fremont County, Iowa",19071,73.8
"Citrus County, Florida",12017,73.8
"Roane County, Tennessee",47145,73.7
"Iron County, Michigan",26071,73.6
